set,number,name,type,subtype,rarity,allegiances,traits,artist,politics_ability,politics_cost,intrigue_ability,intrigue_cost,onePower_ability,onePower_cost,combat_ability,combat_cost,effect,lore,printing_of,printing_note
premiere,6,A Time of Decision,Challenge,,C,,,Ed Beard,,,,,,,,,"Target a character you have in play. If you succeed, retrieve a replacement version of the character from your deck and place it in your hand.","All he wanted was to be a blacksmith, to go home, and see his family again, and work at the smithy. But it was not to be; he knew that.",,
premiere,7,A Time of Peace,Event,,R,,,Pat Morrisey,,3,,,,,,,No player may initiate a card-based challenge on the next turn.,"There was a time, before the Breaking, known as the Age of Legend, when there were no wars.",,
premiere,8,Advanced Scout,Advantage,Character,U,,,Paul Carrick,,,,,,,,2,"When assigning damage from your opponent's character damage pool, this character must be assigned a point. While this character is participating in a challenge, all events you play in that challenge have their combat symbol costs reduced by one.","There's bloody something moving down there. Some of the others nodded and murmured, too.",,
premiere,9,Al'cair'rahienallen,Advantage,Player,R,,Capital of Cairhien,Jim Holloway,,,,,,,,,"While you control the Cairhien contested advantage by 5 or more, when Cairhien characters you control generate any [intrigue], they also generate an equal number of [damage].","You take Cairhien. The city's proper name is Al'cair'rahienallen, Hill of the Golden Dawn.",,
premiere,10,Amys,Character,,U,Aiel,"Wise One,Taardad Aiel,Light Nature,Dreamwalker",Bill O'Conner,2,2,1,,2,1,,,Rotate Amys as an event and target an Aiel character with a Politics ability lower than hers (including none). Rotate the target for no effect.,"In Rhuidean you will find three rings, arranged so. Step through any one. You will see your future laid before you, again and again, in variation.",,
premiere,11,Andor,Advantage,World,U,,Nation Contested Advantage,Ellisa Mitchell,,,,,,,,,"If you control Andor during the ready round, choose one allegiance. All Andor characters you control gain that allegiance until the end of the turn.","Andor has always had a queen, and it still does. Elayne was Daughter-Heir. With her mother dead, she's queen.",,
premiere,12,Andor Cavalry,Troop,,F,Andor,"Multiple,Reinforcement",Jim Holloway,,1,,,,,4,1,,"A proud line of cavalry thundered across the field, moving briskly and in tight formation beneath the fluttering banners of Andor.",,
premiere,13,Andor Infantry,Troop,,F,Andor,Multiple,Jim Holloway,,2,,,,,4,,,"...red uniformed men burst into sight, breastplates catching the sun as they dashed up the path. Others came like breaking waves of scarlet and polished steel...",,
premiere,14,Andoran Spearmen,Troop,,U,Andor,Multiple,Jim Holloway,,,,,,,2,,"The cost to recruit the this card is [politics] or [combat]. During the Coming to Grips step in which this card is participating, you may rotate and kill this card to add two tokens to your troop damage pool.","A thousand spears are held fast beneath Andor's banner, the white lion rampant on a field of red.",,
premiere,15,Animate Stone,Event,,U,,,April Lee,,,,,,,,,"Target a challenge during its Opening Moves step. This card becomes a character, participating in that challenge, with one Combat ability for each [onePower] you pay. Roll its dice immediately add the results to your pool. Discard this card after the challenge resolves.","Suddenly the benches shifted, flowed, changed into faceless manshapes, still as white and hard-looking as the stone.",,
premiere,16,Asmodean (I),Character,,R,Dark One,"Starting Villain,Forsaken",Kelly Freas,,,1,,4,,,,"Immediately after Asmodean rotates, he generates an additional ability symbol of your choice. That symbol can only be used for recruiting characters and troops with the Dark One allegiance.","Asmodean saw him at the same moment and gave a start ... and suddenly a huge sheet of fire, like a thin slice from monstrous flame, swept back toward Rand, a mile high and a mile wide.",,
premiere,17,Assassination Attempt,Challenge,,U,,,Steve Snyder,,,,,,,,,"Target a non-Hero, non-Villain character. Only Intrigue and One Power may be rolled in this challenge. For every 3 by which you succeed, do one point of damage to the target.","A bolt from a crossbow. A few dark strands from here hair were tangled in the four heavy prongs, meant for punching through armor.",,
premiere,18,Aura of Death,Advantage,Character,U,,,Ed Beard,,,,,,,,,"The next time the targeted character takes damage, he takes one additional point of damage. When he takes this extra damage, discard this advantage.","A slender woman with black hair falling to her waist... wore a sickly brown halo, shriveled and split by rotting fissures that fell in and widened as they decayed.",,
premiere,19,Aviendha,Character,,U,Aiel,"Maiden of the Spear,Taardad Aiel,Light Nature",Steve Snyder,,,,,,,3,1,Symbols generated by this character may not be used for recruiting. Aviendha gains +1 Combat while participating in a challenge.,"I am Far Dareis Mai, A Maiden of the Spear ... In your lands, you have women much like our Wise Ones, the women called Aes Sedai.",,
premiere,20,Bain,Character,,C,Aiel,"Maiden of the Spear,Shaarad Aiel",Ron Walotsky,,,,,,,3,1,Symbols generated by this character may not be used for recruiting.,"When we wed the spear, we pledge to be bound to no man or child. Some do give up the spear, for a man or child, but once given up, the spear cannot be taken back.",,
premiere,21,Battle Hardened,Advantage,,C,,,Ron Walotsky,,,,,,,,,"Target a character or troop you control. When determining how many ability dice to roll for the target, ignore all damage on him.","...screaming defiance with the last breath, to spit in Sightblinder's eye on the last day.",,
premiere,22,Be'lal (I),Character,,R,Dark One,"Starting Villain,Forsaken",Tony Szezudlo,,,1,,4,,4,,"You may only recruit one character and one troop per turn. If the Dragon Reborn initiates the Callandor challenge and fails to succeed, place the Callandor advantage on Be'lal instead.","In A Study of the War of Shadow, Moilin daughter of Hamada daughter of Juendan called Be'lal the Netweaver ...",,
premiere,23,Berelain,Character,,R,Dragon,First of Mayene,Larry Elmore,3,3,1,,,,,,Politics ability symbols generated by Berelain have all allegiances for recruiting purposes.,"... a tall young woman of regal bearing entered the room, wearing a coronet with a golden hawk in flight above her brows.",,
premiere,24,Bitter Fighting,Event,,R,,,Chris Arneson,,,,,,,,1,Target a troop you control and another player's troop participating in the same challenge. Both troops roll their dice and apply damage (other results are ignored). Both troops continue rolling their dice and applying damage until one troop is killed.,The Defenders in the anteroom were fighting for their lives beneath the gilded lamps ...,,
premiere,25,Blood Tide,Event,,C,,,David Monette,,,,,,,,2,Target a challenge. Each [combat] you roll while participating in the challenge is converted into a [damage] instead.,"For three days they fought, and though the land became a butcher's yard, no crossing of the Tarendrelle did they yield.",,
premiere,26,Bodyguards,Advantage,Character,F,,,Kelly Goodeen,,1,,,,,,1,"When the targeted character takes damage, apply it to this card instead. Discard this advantage when it has taken two points of damage and apply any extra damage to the targeted character.","Facing every direction as they did, they were supposed to keep all intruders from the current lord of the Stone.",,
premiere,27,Border Clash,Challenge,,U,,,Ron Walotsky,,,,,,,,,"Politics cannot be rolled in this challenge. Reinforcement cannot be used in this challenge. If you succeed, move a token from the neutral section of the Pattern to your section, and you may add a token to a nation contested advantage.","Whatever they did not steal, they burned, and drove us out to starve.",,
premiere,28,Broken Ground,Event,,U,,,Darrell Sweet,,,,,,,,,"For each [combat] spent, target one troop participating in the same challenge. The targeted cards do not ready next turn.","When the shadows lengthen, they must stop or begin breaking wheels and mules' legs.",,
premiere,29,Bubble of Evil,Event,,C,,,Ed Beard,,,,,,,,,"This card may only be played by a Villain player. Target a character participating in a challenge. The target may choose not to roll his dice this turn. If he does roll, he takes one point of damage for each ability symbol he rolls.","The weapon thrashed like a thing alive, a thing with a malevolent will.",,
premiere,30,Caemlyn,Advantage,Player,R,,Capital of Andor,Jim Holloway,,,,,,,,,"While you control the Andor contested advantage by 5 or more, all Andor characters you control may use their Politics in the Last Battle. This allows your Andor characters with only Politics to participate in the Last Battle.",Words died in his mouth as his eyes fell on Caemlyn... this was more than he would have believed.,,
premiere,31,Cairhien,Advantage,World,U,,Nation Contested Advantage,Ellisa Mitchell,,,,,,,,,"For each token by which you control Cairhien, you may use one [intrigue] as a [politics] or [combat] to recruit. (These symbols retain their original allegiance.)","Yet the people seemed open and friendly enough, pausing to nod to each other as they hurried about their last chores before nightfall.",,
premiere,32,Cairhien Footmen,Troop,,C,Cairhien,Multiple,Eric Anderson,,1,,,,,5,1,"As an event, any player may target this troop and pay any amount of [intrigue]. For each [intrigue] paid, this troop rolls one less Combat die for the rest of the turn.","Most of them wore plain breastplates, and where there was gilt or silverwork, it was battered as though a drunken smith had been at it.",,
premiere,33,Cairhien Horsemen,Troop,,U,Cairhien,Reinforcement,Kelly Goodeen,,1,,,,,2,,"As an event, rotate this troop and target a troop you control. The targeted troop gains Reinforcement until the end of the turn.","The smell of death wafted up toward the fresh horses, which pranced nervously as the cavalrymen awaited orders.",,
premiere,34,Callandor,Challenge,,R,,,Tony Szezudlo,,,,,,,,,"Can only be initiated by the Dragon Reborn. If you succeed by five or more, this card becomes a sa'angreal character advantage on the Dragon Reborn. While the target participates in a challenge, you may place two tokens on this card to roll One Power dice equal to the target's current One Power ability. Unless the target rolls more [onePower] in the challenge than tokens on this card, you must apply damage on your participating cards equal to his One Power ability.",The Sword That is Not a Sword.,,
premiere,35,Called to War,Advantage,Player,U,,,Steve Snyder,,,,,,,,,"You may initiate a challenge each turn targeting a nation contested advantage. There is automatically 5 opposition to the challenge. For every two by which you succeed, add a token to the targeted advantage.",The armies of Tear are to march.,,
premiere,36,Car'a'carn,Challenge,,U,,,Ron Rousselle,,,,,,,,,"Only the Dragon Reborn may initiate this challenge. If you succeed, this challenge becomes a character advantage on the Dragon Reborn giving him the Aiel allegiance. For each point by which you succeed, place a follower token on the advantage. You may remove one follower token to reduce the cost of an Aiel character or troop by one ability of your choice.","Of the blood, but not raised by the blood, he will come from Rhuidean at dawn, and tie you together with bonds you cannot break.",,
premiere,37,Carpe Fatum,Event,,R,,,Pat Morrisey,,,,,,4,,,The symbols used to pay for this card must all come from the same character. Add one token to your section of the Pattern.,Your'e Right. How did you know? It has to work for me sooner or later...,,
premiere,38,Catapults,Troop,,U,Mercenary,Multiple,Paul Herbert,,,,,,,1,1,"When participating in a challenge, Catapults add one point of damage to your troop damage pool during the Opening Moves step.","Beside the road behind the stakes stood a contraption of wood and thick, twisted rope, with a nearby pile of stones bigger than a man's head.",,
premiere,39,Charge,Event,,C,,,Theodor Black,,,,,,,,,"Play this card during the Coming to Grips step of a challenge. For each [combat][combat] you pay, target one troop you control. Rotate the target troops, roll their dice, and add the results to your pool.","His horse leaped forward as he dug in his heels, and he heard the roar as the legion, as much of it still lived, followed.",,
premiere,40,Chiad,Character,,U,Aiel,"Maiden of the Spear,Goshien Aiel",Chris Arneson,,1,1,,,,3,1,Symbols generated by this character may not be used for recruiting.,"I am Chiad, of the Sones River sept of the Goshien Aiel.",,
premiere,41,Civil Unrest,Event,,U,,,April Lee,,,,,,,,,"Target a nation contested advantage. Each player rolls a Combat die for each token they have on that advantage. For each for each [damage] rolled, they may remove a token of their choice from the target advantage.","...as one they surged forward, howling and rabid, waving pitchforks and swords, axes and clubs, anything that could be taken to hand for a weapon.",,
premiere,42,Combat Reserves,Advantage,Player,R,,,Kelly Goodeen,,,,,,,,2,You may pay [combat] as a limited event to place a reserve token on this card. You may remove two reserve tokens as a limited event to add one [combat] to your pool. This symbol has the allegiance(s) of your starting character.,"The soldiers still appeared uneasy... but they formed into lines to either side of the gates, bow deeply as Rand rode through.",,
premiere,43,Commander,Character,,F,Mercenary,Multiple,Jim Holloway,,1,,,,,2,1,,"Even smiling, his face was hard...",,
premiere,44,Compulsion,Advantage,Character,R,,,Chris Arneson,,,,,,2,,,"Only a Villain player may play this card. Target a character that you could control whose cost is less than the number of tokens on your section of the Pattern. As an event, the player who played Compulsion may pay one more [onePower] than the One Power ability of the target to take control of that character for the following turn.",She seemed unable to look at anything but his dark eyes; her skin tingled as if an icy wind were blowing through the courtyard.,,
premiere,45,Concealed Dagger,Advantage,Character,R,,,April Lee,,,,1,,,,,Discard this advantage as an event while the target is participating in a challenge and pay [intrigue] to add a point of damage to another character (of your choice) participating in the same challenge.,"The slim-bladed knife came up swiftly, all her remaining strength behind it...",,
premiere,46,Confrontation,Challenge,,F,,,Jeff Menges,,,,,,,,,"If you succeed by five or more, add two tokens to your section of the Pattern.","Shienar will ride to Tarwin's Gap alone, and we will be outnumbered at least ten to one.",,
premiere,47,Connections,Event,Limited,C,,,Steve Snyder,,1,,,,,,,Draw two cards.,This is a fine party. You have many friends...,,
premiere,48,Cut Supply Lines,Challenge,,R,,,David Monette,,,,,,,,,"Target another player. If you succeed, this challenge becomes a player advantage targeting him. His maximum hand size is decreased by 2.","Even the small things are bad. The war in Arad Doman has stopped trade from Saldaea, and the pinch is making unrest in Maradon.",,
premiere,49,Dain Bornhald,Character,,C,Children of the Light,,Chris Arneson,1,1,,,,,1,,,"My name is Dain Bornhald! Remember it, Darkfriends! I will make you fear my name! Remember my name!",,
premiere,50,Dangerous Liaisons,Advantage,Player,R,,,Ed Beard,,,,2,,,,,You may pay [intrigue] as a limited event to place a reserve token on this card. You may remove two reserve tokens as a limited event to add one [intrigue] to your pool. This symbol has the allegiance(s) of your starting character.,"I know a secluded pool, where this heat might be escaped. A sheltered pool, where nothing would disturb us.",,
premiere,51,Dark Dreams,Advantage,Player,R,,,Pat Morrisey,,,,,,1,,,This card may only target a Villain player. You may discard this card as an event and target a card-based challenge. It gains 2 additional opposition.,"It had been a dream, then, like a nightmare in the Winespring Inn the day of Bel Tine ...",,
premiere,52,Darkfriend,Advantage,Character,F,,,Theresa Brandon,,,,1,,,,,Target a character you control with a dark nature. He gains the Dark One allegiance.,"You will have honored places if you come to the Great Lord of your own free will, but as long as you run, there will be pursuit, and who can tell what will happen then?",,
premiere,53,Darkfriend Band,Troop,,U,Dark One,Multiple,Tim Gerstmar,,,,1,,,2,,"The Darkfriend Band is recruited into your battleground, and has Reinforcement on the turn it is recruited.","Men fought alongside the Trollocs, too, in rough coats, with swords, shouting desperately as they died among the thorn bushes.",,
premiere,54,Darkhound Pack,Character,,R,Dark One,"Monster,Multiple,Reinforcement",Tony Szezudlo,,,,,,2,3,2,You cannot control more than one Darkhound pack at a time. Symbols generated by this character may not be used for recruiting. This character cannot be the target of advantages. Any character that takes damage from a Darkhound Pack and is not completely healed by the end of the turn is killed.,A Darkhound leaves no mark on dirt ... but stone is another matter.,,
premiere,55,Debt of Honor,Challenge,,F,,,Steve Snyder,,,,,,,,,"Target a character you control. If you succeed, this challenge becomes a character advantage targeting him. While the target of the advantage is ready, your starting Hero or Villain gains the target's allegiance(s). If you do not succeed, your starting Hero or Villain takes one point of damage, and the target is killed.","May you always find water and shade, Perrin Aybara.",,
premiere,56,Decisive Tactics,Event,,F,,,Paul Carrick,,,,,,,,,"Play this card during the Opening Moves or Coming to Grips steps of a challenge. For each [combat][combat] you pay, apply one [support] or [opposition] to the challenge.","Slowly, inexorably, the Two Rivers line bulged inward at a dozen places. If it broke, anywhere...",,
premiere,57,Defensive Measures,Event,,C,,,Thomas Manning,,,,,,,,,"Target one or more ready troops you control that are participating in the same challenge. Pay [combat][combat] for each target. For each [opposition] they roll, they generate an additional [opposition].","The road passed a half a dozen farms... ending at the heavy wooden gates bound with wide straps of black iron. They were closed tight, even if the sun was not down yet.",,
premiere,58,Dense Fog,Event,,C,,,Rob Carlos,,,,,,,,,"Target a challenge. For each [onePower] you pay, all players except you must remove one token from their character damage pools and from their troop damage pools during each step of the challenge.","The thickness of it muffled the sound of their hooves to dullness, and cries from overhead seemed to come through a wall.",,
premiere,59,Dense Forest,Event,,F,,Terrain,April Lee,,,,,,,,,"Target a card-based challenge. Only one terrain event may target each challenge. No cards may reinforce the challenge. Before damage is applied, remove two points of damage from all player's character damage pools.","Scattered clumps of evergreens, willows and firs, dotted the far bank, and there seemed to be fewer trees altogether than on her side.",,
premiere,60,Disband,Event,,C,,,Kelly Goodeen,,,,,,,,,Discard a troop you control. Add a number of symbols to your pools equal to the recruit cost of the discarded troop. These symbols have the same allegiance as the discarded troop.,"From the two nearest tower tops men watched them approach. Just a few men on each, peering curiously through the crenels.",,
premiere,61,Distractions,Event,,C,,,Eric Anderson,,,,,,,,,"Target a troop participating in a challenge. For each [intrigue] you pay, it must roll one die less than normal.",Veiled Shaido turning to fight wolves had only moments to realize they were not the only threat...,,
premiere,62,Draghkar,Character,,R,Dark One,"Monster,Multiple,Reinforcement",Ed Beard,,,,,,1,2,1,You must have 5 Pattern to recruit a Draghkar. This character cannot be the target of advantages. Whenever Draghkar rolls dice ignore all results. Whenever Draghkar rolls dice he generates [damage][damage].,"I have never liked Draghkar, we should have never have made them. Give them an order, and they still sometimes kill whatever is closest.",,
premiere,63,Dragon Banner,Advantage,Player,R,,,Darrell Sweet,,,,,,2,,,Can only target a Hero player. Pay [politics] as a limited event and target a character you control. The target permanently gains the Dragon allegiance. Each of your Dragon characters participating in a challenge initiated by the Horn of Valere contested advantage automatically generate one additional support.,"A banner most men would not know if they saw it, but would fear when they learned it's name.",,
premiere,64,Dragonsworn,Troop,,R,Dragon,Multiple,Jim Holloway,,,,,,,2,,There is no cost to bring the Dragonsworn into play.,"They're down there, on Almoth Plain, and the Light alone knows where else. Hundreds of them. Thousands. They declared for the Dragon Reborn because I raised that banner.",,
premiere,65,Driven,Event,,R,,,Steve Snyder,,,,,,,,,"Target one or more trolloc troops you control that are participating in the same challenge. For each troop targeted, put a damage token on it and it generates one [support].","The Trollocs still ran less than fifty paces back... A fade rode behind them now, and they seemed to flee the halfman as much as to pursue...",,
premiere,66,Duel,Event,,C,,,Bill O'Conner,,,,,,,,,Target a ready character. Select a character you control with the same allegiance as the target. Each character rolls his dice and applies any [damage] (other results are ignored). The target can rotate for no effect to ignore this card.,You are young. Let us see what it required to earn the heron...,,
premiere,67,Eamon Valda,Character,,U,Children of the Light,Lord Captain,Ed Beard,1,1,2,1,,,3,2,Rotate Eamon Valda to remove one token from a contested advantage.,"Every bit as much the picture of a Lord Captain... the dark man's face was hard, as ever, and he had a sword in his hands...",,
premiere,68,Earth Blast,Event,,U,,,Jim Houston,,,,,,2,,,Play this card during the Opening Moves or Coming to Grips step of a challenge. Target a character participating in that challenge. The target takes a point of damage and may not ready next turn.,"With a roar the ground in front of him erupted in a narrow fountain of dirt and rocks higher than his head. Screaming, his horse reared, and he rolled out of his saddle like a sack.",,
premiere,69,Egwene al'Vere,Character,,F,Aes Sedai,"Light Nature,Novice",David Cherry,,,,,1,1,,,"If Egwene rolls a number of [onePower] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of three.",No ... I'm not afraid. I do want to become an Aes Sedai.,,
premiere,70,Egwene the Accepted,Character,,R,Aes Sedai,"Accepted,Dreamwalker,Light Nature",Jim Houston,1,,2,,2,,,,"Replace Egwene al'Vere when she has a permanent One Power of at least two. If Egwene rolls a number of [onePower] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of three.","You are washed clean of Egwene al'Vere from Emond's Field... You are Egwene al'Vere, Accepted of the White Tower. You belong to us now.",,
premiere,71,Elaida Sedai,Character,,R,Aes Sedai,Red Ajah,Heather Bruton,2,1,2,1,3,2,,,"If Elaida rolls a number of [onePower] equal to her permanent One Power ability, she must look at the top five cards of any players' deck; reveal two of them to all players, and place them back on top of the deck in the same order.","The Dark One stirs in Shayol Ghul. The Shadow lies across the Pattern, and the future is balanced on the point of a pin.",,
premiere,72,Elayne Trakand,Character,,F,Andor,"Light Nature,Daughter-Heir",David Cherry,2,2,,,1,,,,The Dragon Reborn does not cause an allegiance penalty when paying any of the cost to recruit Elayne.,"She was completely different from Egwene in height and face and body, but every bit as beautiful.",,
premiere,73,Elyas,Character,,R,Mercenary,Wolfbrother,Thomas Manning,,1,1,,,,3,2,Elyas cannot be controlled by a Villain player. Rotate Elyas to retrieve a Wolf troop from your deck and place it in your hand.,"Elyas moved with the lazy grace of a wolf, only emphasized by his skins and fur hat, radiating danger as naturally as a fire radiated heat.",,
premiere,74,Establish Contacts,Advantage,Character,U,,,Liz Danforth,,,,,,,,,Target a Forsaken character. He gains +1 Intrigue.,"This world is very changed from the world I... went to sleep in... What I know of what lies where, I have learned since waking.",,
premiere,75,Exiled,Challenge,,U,,,Diana Stein,,,,,,,,,"Target a character and select an allegiance of that character. Only characters of the selected allegiance may participate in this challenge. If you succeed by at least the character's cost or highest ability, whichever is greater, remove that allegiance from the target.",You exiled them from the city last spring...,,
premiere,76,Expendable Troops,Event,,C,,,KC Lancaster,,,,,,,,1,Target a challenge. This event acts as if it were a mercenary troop participating in that challenge with 2 Combat ability. Discard this card after the challenge resolves.,I need them yet. I can use them.,,
premiere,77,Fade,Character,,F/C,Dark One,"Monster,Multiple,Myrddraal",Stephen Daniele,,,1,1,,,3,1,This card cannot participate in challenges until there are at least four tokens on your section of the Pattern.,"Dead black clothes and cloak, hardly seeming to stir as it moved, made its maggot-white skin appear ever paler. It had no eyes ...",,
premiere,78,Fall Back,Event,,C,,,Rob Carlos,,,,,,,,,"Target a character you control. Put a number of recovery tokens on the target equal to the number of damage tokens on him, then remove all damage from the target. Rotate the target for no effect. The target cannot ready while recovery tokens remain on him. Remove one recovery token at the end of each ready round.",Arin! Dar! Get out here and help me open the gate. There's people want to leave. Don't argue. Just do it.,,
premiere,79,Far Reaching Influence,Advantage,Character,C,,,Tony Szezudlo,,,,,,,,,"Target a character with Politics. The target gains +1 Politics. If the target ever participates in a card-based challenge you initiate but do not succeed at, discard this advantage.","No one refuses an audience with the Amyrlin Seat, sheepherder. Not the Lord Captain Commander of the Whitecloaks himself.",,
premiere,80,Fireball,Event,,F,,,Steve Snyder,,,,,,1,,,Play this card during the Opening Moves or Coming to Grips step of a challenge. Target a character or troop participating in that challenge. Put one point of damage on the target.,"Flame enveloped Trollocs, then burst with a roar that left misshapen forms unmoving on the ground.",,
premiere,81,Flanking Maneuvers,Challenge,,U,,,KC Lancaster,,,,,,,,,"Only cards with Reinforcement may participate in this challenge. No cards can reinforce this challenge. If you succeed by three or more, add one token to your section of the Pattern.",They're behind us! Rally to me!,,
premiere,82,Flowing Coffers,Challenge,,C,,,Diana Stein,,,,,,,,,"If you succeed, this challenge becomes a player advantage targeting you. For each point by which you succeed, place a wealth token on this card. You may remove one wealth token to reduce the cost of a mercenary character or troop by one ability of your choice. Discard the advantage when there are no tokens remaining.","It's a bad precedent, my Lord Dragon, lowering taxes ...",,
premiere,83,Forced Back,Challenge,,C,,,Larry Elmore,,,,,,,,,"Target a non-Hero, non-Villain character you do not control. If you succeed, this challenge becomes a character advantage on the target. The effect text of the target is ignored.","He felt as weak as the worst wrought iron, ready to bend at any pressure.",,
premiere,84,Forced March,Advantage,Player,R,,,Rob Carlos,,,,,,,,2,"When you recruit a troop, you may pay [combat] in addition to its cost to bring that troop into play in your battleground (rather than in your home front). You may pay an additional [combat] to give the troop Reinforcement until the end of the turn.","He could not eat, except what he could scavenge while he hunted you... nor could he stop until exhaustion collapsed him like an empty sack.",,
premiere,85,Fortress of Light,Advantage,World,R,,Contested Advantage,Jim Pavelec,,,,,,,,,"Cards with only the Dark One or Aes Sedai allegiances (or both) cannot participate in challenges initiated with this advantage. While you control the this card, any event targeting you that requires One Power requires an additional One Power, and you have an extra Pattern token for each contested advantage you control.",... a huge sunburst set into the floor held enough gold to make most men stare.,,
premiere,86,Forward Scouts,Troop,,U,Mercenary,Multiple,Ed Beard,,,,,,,1,1,"While participating in a challenge, this card may rotate as an event to give another troop Reinforcement. That troop may only reinforce the challenge in which this card is participating.","Checking the arrow nocked to his longbow, he peered down the valley running off to the west, widening as it fell away.",,
premiere,87,From the Shadows,Challenge,,U,,,Paul Carrick,,,,,,,,,"Only Intrigue may be rolled in this challenge. If you succeed, add a token to your section of the Pattern.","Paradox child. The Dark One is the embodiment of paradox and chaos, the destroyer of reason and logic, the breaker of balance, the unmaker of order.",,
premiere,88,Further Demands,Advantage,,C,,,Jeff Menges,,,,,,,,,Target a mercenary character or troop. Rotate the target for no effect. It may not ready. The controller of the card may discard this advantage by paying the cost of the targeted card as a limited event.,The Murandians hardly count; they're just there for whatever advantage they can wring out of the situation...,,
